cell_id,essay_id,trait,purpose,family,rationale_excerpt,detected
1,2049,expression_2,설명,case_marker,"글은 '이후로부터이제부터'의 중복, '굉장히 비좁은 좁은'의 형용사 중복, '초식동울인'의 오타 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
1,2049,expression_2,설명,dis_SBERT,"글은 '이후로부터이제부터'의 중복, '굉장히 비좁은 좁은'의 형용사 중복, '초식동울인'의 오타 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
1,2049,expression_2,설명,dis_nonSBERT,"글은 '이후로부터이제부터'의 중복, '굉장히 비좁은 좁은'의 형용사 중복, '초식동울인'의 오타 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
1,2049,expression_2,설명,lex,"글은 '이후로부터이제부터'의 중복, '굉장히 비좁은 좁은'의 형용사 중복, '초식동울인'의 오타 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",1
1,2049,expression_2,설명,meta,"글은 '이후로부터이제부터'의 중복, '굉장히 비좁은 좁은'의 형용사 중복, '초식동울인'의 오타 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
1,2049,expression_2,설명,morph_prop,"글은 '이후로부터이제부터'의 중복, '굉장히 비좁은 좁은'의 형용사 중복, '초식동울인'의 오타 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",1
1,2049,expression_2,설명,syn,"글은 '이후로부터이제부터'의 중복, '굉장히 비좁은 좁은'의 형용사 중복, '초식동울인'의 오타 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
1,2049,expression_2,설명,vocab_grade,"글은 '이후로부터이제부터'의 중복, '굉장히 비좁은 좁은'의 형용사 중복, '초식동울인'의 오타 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
2,13451,expression_2,설득,case_marker,"이 떄'(때), '좋지 않는'(않은), '바람직하지 않는'(않은), '생각해야한다'(해야 한다), '나아가야한다'(나아가야 한다) 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
2,13451,expression_2,설득,dis_SBERT,"'이 떄'(때), '좋지 않는'(않은), '바람직하지 않는'(않은), '생각해야한다'(해야 한다), '나아가야한다'(나아가야 한다) 등 맞춤법과 띄어쓰기 사용에 미흡함이 있다.",0
